Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-3795.6	-3941.515	145.9154	0.219052	0.0907618	0.0626658	0.00916735	0.0793111	0.00199897	0.0334681	0.0271909	0.0361857	0.0846049	0.0560505	0.110962	0.0293491	0.0273448	0.10269	0.0589174	0.149379	0.0865055	0.172882	0.0432318	0.1144	0.104384	0.0653762	0.00270157	0.00174112	0.0438095	0.136049	0.0138528	0.0425004	0.0148558	0.0334664	0.0234082	0.0294643	0.044819	0.0472688	0.0235453	0.0480186	0.0848089	0.0418487	0.00264645	0.00582934	0.0126053	0.0221991	0.00446424	0.00660802	0.0220182	0.0115367	0.0504807	0.0326189	0.0530183	0.29099	0.0221745	0.0701424	0.0885381	0.0228752	0.0174307	0.0811779	0.0110189	0.0302231	0.025098	0.102071	0.0665744	0.0203459	0.0315745	0.0913316	0.0478242	0.0379524	0.109754	0.0113797	0.0519078	0.0169933	0.0232473	0.0134037	0.0460246	0.0563682	0.0440159	0.00403022	0.044603	0.0192973	0.0138876	0.0485034	0.0147854	0.19396	0.0555089	0.0151103	0.016029	0.0339865	0.0286914	0.00662245	1.08742	0.950417	1.078102	0.9218977	0.235847	0.494345	0.802681	1.24582	2.02288	4.24004	1.044526	0.8551116	0.6489222	0.0481697	0.0199586	0.0137802	0.0020159	0.0174405	0.000439574	0.00735965	0.0059793	0.00795725	0.0186046	0.0123255	0.0244005	0.00645387	0.00601312	0.0225816	0.012956	0.0328485	0.0190226	0.0380167	0.00950668	0.0251565	0.0229542	0.0143762	0.000594076	0.000382872	0.00963373	0.0299173	0.00304623	0.00934585	0.00326679	0.00735928	0.00514746	0.00647921	0.0098557	0.0103944	0.00517761	0.0105593	0.0186495	0.00920254	0.000581956	0.00128187	0.0027719	0.0048816	0.000981688	0.00145311	0.0048418	0.00253693	0.0111007	0.00717292	0.0116588	0.0639889	0.00487617	0.0154243	0.0194696	0.00503025	0.00383301	0.017851	0.00242305	0.00664608	0.00551907	0.0224454	0.0146397	0.00447406	0.00694325	0.0200838	0.0105166	0.00834574	0.0241348	0.0025024	0.0114145	0.00373684	0.00511208	0.00294748	0.0101208	0.0123954	0.0096791	0.000886247	0.00980821	0.00424348	0.00305388	0.0106659	0.00325132	0.0426518	0.0122064	0.00332276	0.00352479	0.00747363	0.00630925	0.00145628	0.460949	0.539051	4.547515
36	-3794.658	-3940.458	145.8002	0.216775	0.0336413	0.0565248	0.0419013	0.0615889	0.00265553	0.0454438	0.00874078	0.0673752	0.0781143	0.0441761	0.0819982	0.0362457	0.0732989	0.0980427	0.0949791	0.0816155	0.0770988	0.130101	0.058245	0.0756513	0.125594	0.0263148	0.00195048	0.000962955	0.0793181	0.0783919	0.0386357	0.0481518	0.00917784	0.0535979	0.0390406	0.0743746	0.0319889	0.0612467	0.0231153	0.0546532	0.148022	0.0365488	0.0146059	0.00531778	0.0256324	0.0127154	0.0144714	0.010623	0.0209375	0.00657853	0.0570949	0.0298454	0.0852165	0.301411	0.055287	0.0274646	0.0591517	0.0122738	0.0214705	0.184229	0.00157927	0.0160641	0.0385927	0.148792	0.0607448	0.0139014	0.0266137	0.0469566	0.0223301	0.0737951	0.023862	0.0253681	0.0748769	0.00420628	0.0691996	0.00774115	0.0470057	0.0653622	0.0584773	0.042652	0.058522	0.0260664	0.0302825	0.111856	0.00111221	0.234457	0.0760442	0.0288996	0.0222899	0.0351056	0.0134625	0.00488701	0.87944	1.06838	1.116743	0.8832569	0.260668	0.519068	0.814996	1.227	1.92653	3.8363	0.972172	0.7909222	0.4668638	0.044689	0.0069353	0.0116528	0.00863814	0.0126968	0.000547449	0.00936844	0.00180195	0.0138897	0.0161036	0.00910711	0.0169043	0.00747221	0.0151109	0.0202119	0.0195804	0.0168254	0.0158943	0.0268209	0.0120075	0.0155959	0.0258917	0.00542491	0.000402099	0.000198517	0.0163518	0.0161608	0.00796492	0.00992671	0.00189205	0.0110494	0.00804839	0.0153327	0.00659465	0.0126263	0.00476532	0.011267	0.0305154	0.00753471	0.00301108	0.00109628	0.00528424	0.00262133	0.00298335	0.00218998	0.00431636	0.00135619	0.0117704	0.00615276	0.0175678	0.0621373	0.0113977	0.00566195	0.0121944	0.0025303	0.00442623	0.0379797	0.000325574	0.00331169	0.00795605	0.0306741	0.0125228	0.00286584	0.00548652	0.00968032	0.00460346	0.0152132	0.00491925	0.00522975	0.0154362	0.000867142	0.0142658	0.00159587	0.00969044	0.0134747	0.0120554	0.0087929	0.0120646	0.0053737	0.00624287	0.0230596	0.000229287	0.0483344	0.0156769	0.00595779	0.00459517	0.00723717	0.00277536	0.00100748	0.441628	0.558372	4.850732
72	-3802.056	-3945.868	143.8125	0.305847	0.167909	0.00742962	0.0909517	0.0369496	0.0407972	0.0276618	0.011009	0.0715616	0.0487538	0.0399153	0.117096	0.0561141	0.0850597	0.189809	0.064645	0.125383	0.0855199	0.144405	0.031016	0.0960968	0.170738	0.0507339	0.00375618	0.000278885	0.0410244	0.0767556	0.0377459	0.0394361	0.0258257	0.0853581	0.0124928	0.0916309	0.062063	0.0847394	0.0342199	0.0900443	0.208283	0.0332271	0.00578592	0.0121595	0.0288315	0.0319228	0.0159636	0.00868786	0.030642	0.0145997	0.065596	0.0899555	0.0699527	0.386419	0.0449823	0.109264	0.138023	0.0394936	0.00872418	0.227797	0.000574472	0.044019	0.0257746	0.172059	0.0905512	0.0120377	0.0692306	0.0430244	0.0435322	0.0899832	0.0832099	0.0429258	0.0912759	0.0152576	0.0170877	0.0597648	0.0726305	0.0390266	0.0234418	0.0262148	0.0130099	0.0376211	0.0602786	0.174872	0.0091776	0.244463	0.0197592	0.00968529	0.0260735	0.093686	0.0353347	0.0028255	0.760911	1.1356	1.111897	0.8881025	0.319429	0.573168	0.840598	1.18963	1.74469	3.13058	0.8251803	0.798727	0.3800283	0.050061	0.0274833	0.00121608	0.0148869	0.0060479	0.00667768	0.00452768	0.00180195	0.0117132	0.00798001	0.00653333	0.0191663	0.00918475	0.0139226	0.0310679	0.0105811	0.0205227	0.0139979	0.0236362	0.00507669	0.0157291	0.0279463	0.00830411	0.000614811	4.56478e-05	0.00671487	0.0125633	0.00617824	0.0064549	0.00422715	0.0139714	0.00204481	0.0149981	0.0101585	0.0138701	0.0056011	0.0147384	0.0340917	0.00543861	0.000947038	0.00199026	0.00471913	0.00522512	0.00261291	0.00142203	0.00501548	0.00238968	0.0107367	0.0147239	0.0114498	0.0632489	0.00736269	0.0178843	0.0225916	0.0064643	0.00142797	0.0372857	9.40294e-05	0.00720503	0.00421878	0.0281625	0.0148214	0.00197033	0.0113317	0.00704222	0.00712534	0.0147284	0.0136198	0.00702608	0.01494	0.00249737	0.0027969	0.00978229	0.0118881	0.00638786	0.00383695	0.00429083	0.00212946	0.00615782	0.00986639	0.028623	0.00150219	0.0400136	0.00323417	0.00158529	0.0042677	0.0153345	0.00578358	0.000462476	0.444051	0.555949	6.109491
108	-3804.36	-3948.026	143.666	0.242789	0.11156	0.0598536	0.0442654	0.0802757	0.0065779	0.0362692	0.0313476	0.0643966	0.0613049	0.1095	0.208484	0.0513068	0.0641173	0.111159	0.0726832	0.121236	0.0846524	0.217142	0.0386399	0.0903747	0.130618	0.0571474	0.00295658	0.00236401	0.120625	0.0706018	0.0338239	0.0473038	0.0219903	0.0850977	0.0412426	0.0380774	0.0763716	0.0846945	0.0168696	0.0728736	0.212069	0.0356933	0.0192406	0.0261892	0.0169648	0.0339086	0.00199668	0.0171906	0.0329232	0.0244448	0.0475708	0.0357744	0.301314	0.0412704	0.00282585	0.0426499	0.172374	0.171884	0.0164258	0.0407546	0.13535	0.0122769	0.0512074	0.125236	0.0653652	0.064435	0.0718114	0.0197966	0.186555	0.0276845	0.00489662	0.00951675	0.0288833	0.0513071	0.0463742	0.00349171	0.134219	0.0585668	0.156015	0.0149302	0.0385846	0.0316418	0.0305774	0.0245174	0.178087	0.068144	0.170802	0.0268683	0.00986029	0.0857984	0.0201022	0.068207	0.934782	1.03699	1.123398	0.8766015	0.364932	0.611631	0.857805	1.16577	1.63497	2.74024	0.7288853	0.7803122	0.5112632	0.039638	0.0182133	0.00977176	0.00722681	0.0131059	0.00107391	0.00592134	0.00511783	0.0105134	0.0100087	0.017877	0.0340372	0.00837639	0.0104678	0.0181479	0.0118663	0.0197931	0.0138204	0.0354508	0.00630838	0.0147546	0.0213249	0.00932994	0.000482694	0.00038595	0.0196933	0.0115265	0.00552212	0.00772286	0.00359015	0.0138931	0.00673331	0.00621655	0.0124685	0.0138273	0.00275414	0.0118974	0.0346226	0.00582732	0.00314125	0.00427567	0.00276968	0.00553595	0.00032598	0.00280656	0.00537507	0.00399088	0.00776645	0.00584056	0.0491929	0.00673784	0.000461351	0.00696306	0.028142	0.0280619	0.00268169	0.00665363	0.0220973	0.00200434	0.00836018	0.0204461	0.0106716	0.0105197	0.011724	0.003232	0.0304571	0.00451979	0.000799426	0.00155371	0.00471551	0.00837644	0.00757109	0.000570059	0.0219127	0.00956167	0.0254711	0.00243751	0.00629936	0.00516586	0.0049921	0.00400273	0.0290747	0.0111253	0.0278853	0.00438655	0.0016098	0.0140075	0.0032819	0.0111355	0.438301	0.561699	6.125164
144	-3801.283	-3945.047	143.7648	0.312197	0.0932027	0.0259662	0.0351809	0.0507775	0.0336882	0.0171993	0.0582517	0.0263789	0.0652865	0.0847877	0.138567	0.0721623	0.025113	0.126711	0.0750863	0.12504	0.0761019	0.212139	0.0373273	0.136136	0.134292	0.0503916	0.0094761	0.00793474	0.0951512	0.105901	0.0727408	0.0648295	0.0350668	0.0458204	0.0471386	0.0471381	0.0758415	0.0468612	0.0426193	0.0708372	0.180303	0.0352557	0.000452192	0.00944224	0.011329	0.0163455	0.00314502	0.0149943	0.0180721	0.0332487	0.0317125	0.0150258	0.290993	0.0197161	0.00858526	0.0561604	0.304383	0.0702879	0.0276189	0.0280771	0.18234	0.0114211	0.0635227	0.0233726	0.0997581	0.0427933	0.0656618	0.00474497	0.158224	0.0064434	0.0343805	0.0184964	0.0648957	0.0641443	0.106741	0.0107824	0.11869	0.0302698	0.0751445	0.0101061	0.0367875	0.00931634	0.0491156	0.0130912	0.403865	0.0830759	0.114872	0.0315544	0.00596506	0.0911465	0.00313003	0.0413207	0.9246	1.04276	1.106731	0.8932688	0.336603	0.587996	0.847323	1.18019	1.70069	2.97085	0.7873133	0.8071236	0.5028943	0.0517768	0.0154574	0.00430641	0.00583465	0.00842128	0.00558709	0.00285245	0.00966086	0.00437486	0.0108276	0.0140618	0.0229808	0.0119679	0.00416491	0.0210145	0.0124528	0.0207375	0.0126213	0.0351825	0.00619062	0.0225778	0.022272	0.00835729	0.00157158	0.00131595	0.0157805	0.0175634	0.0120638	0.0107518	0.00581572	0.00759917	0.00781778	0.0078177	0.0125781	0.00777179	0.00706828	0.0117481	0.0299027	0.00584705	7.49945e-05	0.00156597	0.00187888	0.00271085	0.000521592	0.00248675	0.00299721	0.00551419	0.00525942	0.00249198	0.0482603	0.00326986	0.00142384	0.00931403	0.0504809	0.011657	0.00458051	0.00465649	0.0302406	0.00189415	0.010535	0.00387627	0.0165446	0.00709713	0.0108898	0.000786938	0.0262409	0.00106862	0.00570189	0.00306757	0.0107628	0.0106381	0.0177027	0.00178823	0.0196843	0.00502015	0.0124625	0.00167607	0.00610109	0.00154508	0.00814566	0.00217114	0.0669797	0.0137779	0.0190511	0.00523319	0.000989286	0.0151164	0.000519105	0.0068529	0.446634	0.553366	6.029661
180	-3809.852	-3953.847	143.9943	0.232736	0.035982	0.139513	0.00935012	0.0766484	0.0374468	0.0289108	0.0522749	0.0730225	0.0870225	0.0167583	0.105744	0.0524384	0.055388	0.220383	0.0945	0.188522	0.134877	0.281928	0.0908937	0.0950293	0.169536	0.0270642	0.00299554	0.00229839	0.0320515	0.0740924	0.0895185	0.091405	0.0326814	0.0318962	0.0684063	0.0689866	0.0549661	0.0703783	0.0351912	0.0652633	0.250207	0.0253692	0.00367344	0.0127809	0.023528	0.019929	0.0122215	0.00454579	0.0280413	0.08905	0.100348	0.0334087	0.148452	0.025276	0.0553418	0.0243513	0.0298679	0.06295	0.0729434	0.0464933	0.0227417	0.0412609	0.0483897	0.355127	0.0166417	0.173271	0.1124	0.0160068	0.0358227	0.0425171	0.0188333	0.0287373	0.089235	0.0520706	0.0549794	0.0057535	0.0482262	0.0150308	0.180481	0.0160708	0.0371058	0.0154556	0.0555	0.0115348	0.0304676	0.0379399	0.0205528	0.237026	0.00887271	0.00547092	0.0572414	0.020789	0.94846	1.02923	1.19089	0.8091105	0.365601	0.612178	0.858044	1.16544	1.63351	2.73522	0.727561	0.6794169	0.5226545	0.0387479	0.00599058	0.0232273	0.00155668	0.012761	0.00623445	0.0048133	0.00870316	0.0121574	0.0144882	0.00279005	0.0176052	0.00873037	0.00922145	0.0366912	0.0157331	0.0313867	0.0224555	0.0469377	0.0151327	0.0158213	0.0282258	0.00450588	0.000498722	0.000382654	0.00533619	0.0123355	0.0149038	0.0152179	0.00544107	0.00531034	0.0113888	0.0114854	0.0091512	0.0117172	0.00585892	0.0108656	0.0416565	0.00422368	0.000611585	0.00212787	0.00391714	0.00331794	0.00203473	0.00075682	0.00466854	0.0148258	0.0167067	0.00556216	0.0247155	0.00420816	0.00921376	0.00405421	0.00497265	0.0104804	0.0121442	0.00774058	0.00378622	0.00686945	0.00805632	0.0591244	0.00277065	0.0288475	0.0187133	0.00266495	0.00596405	0.00707859	0.00313551	0.00478442	0.0148566	0.00866914	0.00915342	0.000957889	0.0080291	0.00250245	0.0300479	0.00267561	0.00617768	0.00257318	0.0092401	0.00192041	0.00507249	0.00631654	0.0034218	0.0394621	0.0014772	0.000910843	0.00953001	0.00346113	0.404555	0.595445	6.006433
216	-3799.223	-3942.704	143.4809	0.264962	0.0988052	0.0940357	0.033858	0.0715507	0.034277	0.0437312	0.0378729	0.0904015	0.0507084	0.0291467	0.113826	0.0346016	0.146965	0.127574	0.106074	0.078292	0.114133	0.178635	0.0324881	0.114423	0.146042	0.0625739	0.00380165	0.00944878	0.0806404	0.0695998	0.0443422	0.0343132	0.0188604	0.0510436	0.0586095	0.0804646	0.122141	0.0466945	0.0489374	0.112759	0.274413	0.0409394	0.0259544	0.0140053	0.00952212	0.0186373	0.0144741	0.0181936	0.0172973	0.204172	0.0497666	0.0218652	0.00816245	0.0441628	0.266173	0.188733	0.135464	0.103366	0.0536114	0.0782158	0.0222961	0.0485064	0.0120487	0.0501077	0.239242	0.0555077	0.0313361	0.037829	0.0339168	0.0246325	0.00462928	0.03534	0.120547	0.0440763	0.0149374	0.033176	0.0208316	0.0323322	0.201554	0.000969019	0.0603135	0.0570388	0.0849962	0.0266274	0.0453366	0.0215841	0.110318	0.023318	0.0133797	0.0538779	0.0765545	0.0459024	0.952029	1.02721	1.155995	0.8440053	0.290227	0.546986	0.828425	1.20711	1.8282	3.44558	0.8945023	0.7301117	0.5256549	0.0430355	0.0160481	0.0152734	0.00549927	0.0116214	0.00556732	0.00710288	0.00615136	0.0146831	0.00823612	0.00473405	0.0184877	0.00562003	0.0238703	0.0207208	0.0172286	0.0127163	0.0185377	0.0290142	0.00527676	0.0185847	0.0237203	0.0101633	0.000617468	0.00153468	0.0130977	0.0113045	0.00720212	0.00557319	0.00306334	0.00829058	0.00951943	0.0130692	0.0198384	0.00758418	0.00794848	0.0183144	0.0445705	0.00664944	0.00421554	0.00227476	0.00154659	0.0030271	0.00235091	0.00295503	0.00280944	0.0331619	0.00808315	0.00355138	0.00132576	0.00717299	0.0432323	0.0306542	0.0220023	0.0167889	0.00870763	0.0127039	0.00362137	0.00787848	0.00195696	0.00813857	0.0388581	0.00901563	0.00508964	0.00614423	0.00550882	0.00400084	0.000751893	0.00573998	0.0195794	0.00715893	0.00242615	0.00538849	0.00338349	0.00525145	0.0327367	0.000157389	0.00979621	0.00926432	0.0138052	0.00432486	0.00736363	0.00350572	0.0179181	0.00378734	0.00217314	0.00875093	0.0124341	0.00745553	0.422003	0.577997	6.156826
252	-3813.339	-3959.205	145.8664	0.199277	0.0346825	0.0573987	0.048341	0.0600264	0.024248	0.0032376	0.0424082	0.0171062	0.0567425	0.054511	0.0554368	0.0292745	0.0246043	0.0953614	0.0400392	0.102607	0.0646095	0.123573	0.0807789	0.0289014	0.171541	0.0368264	0.0220922	0.0342294	0.0524189	0.0894942	0.0299345	0.0463673	0.0213046	0.0777618	0.0400251	0.0467187	0.0553932	0.0370866	0.0214954	0.0597927	0.144038	0.028728	0.0160152	0.0130145	0.0305819	0.0125585	0.0167648	0.0117373	0.0275121	0.047898	0.050662	0.0027906	0.0327066	0.266749	0.0167604	0.0413158	0.12347	0.0338213	0.0179433	0.163618	0.0252196	0.0145327	0.106022	0.137674	0.000973872	0.00293769	0.00220659	0.030096	0.0368985	0.0524375	0.0164138	0.0207248	0.0997793	0.0243431	0.0152461	0.00505074	0.0445915	0.0345775	0.0287561	0.107174	0.0578856	0.0250732	0.0825818	0.102579	0.0299594	0.254859	0.0583685	0.0218956	0.0090158	0.0514804	0.0376808	0.0039977	0.984632	1.00872	1.09668	0.9033199	0.268607	0.526719	0.818724	1.22141	1.89855	3.72292	0.9504794	0.8236859	0.5536223	0.0421717	0.00733965	0.0121469	0.0102301	0.012703	0.00513145	0.000685154	0.00897459	0.00362008	0.0120081	0.0115358	0.0117317	0.00619517	0.00520686	0.0201807	0.00847324	0.021714	0.0136729	0.0261509	0.0170947	0.00611624	0.0363023	0.00779335	0.00467524	0.00724377	0.0110931	0.0189391	0.00633486	0.00981244	0.00450857	0.0164563	0.00847027	0.0098868	0.0117225	0.00784842	0.00454895	0.0126536	0.0304819	0.00607953	0.0033892	0.00275417	0.00647187	0.00265768	0.00354783	0.0024839	0.00582221	0.0101364	0.0107213	0.000590558	0.00692151	0.0564504	0.00354691	0.00874342	0.0261291	0.00715739	0.00379723	0.0346254	0.00533706	0.00307546	0.0224367	0.0291352	0.000206095	0.000621685	0.000466968	0.00636903	0.0078086	0.011097	0.00347355	0.00438586	0.0211157	0.00515158	0.00322644	0.00106886	0.00943664	0.00731743	0.00608548	0.0226806	0.01225	0.00530609	0.0174763	0.0217082	0.00634013	0.0539343	0.0123522	0.00463364	0.00190796	0.0108945	0.00797416	0.000846009	0.45166	0.54834	4.725364
288	-3810.681	-3954.928	144.2465	0.228377	0.0867646	0.0108588	0.100844	0.0683105	0.00135444	0.000898507	0.0120146	0.0488875	0.0661417	0.0443755	0.168072	0.0327639	0.117084	0.118378	0.154362	0.127452	0.0678746	0.158937	0.0647004	0.097417	0.118738	0.0459967	0.0285058	0.00576188	0.0451484	0.0779306	0.0179908	0.0543893	0.0252991	0.0615304	0.0517508	0.102092	0.0755145	0.0728232	0.0461974	0.0960188	0.23858	0.0595621	0.00984961	0.00241947	0.0234213	0.0241265	0.00580302	0.0220328	0.0280248	0.0539119	0.0710758	0.00326167	0.0216872	0.230876	0.0318261	0.0747847	0.161455	0.0117921	0.0311688	0.209368	0.0849006	0.0184705	0.098016	0.163436	0.0276474	0.00505988	0.0373491	0.0658308	0.00462961	0.0602944	0.0344204	0.0281973	0.111171	0.037957	0.0358557	0.0660425	0.0618425	0.0266012	0.0335861	0.0491319	0.0461602	0.00934591	0.0548086	0.0495031	0.00925289	0.268211	0.107414	0.0235242	0.0213501	0.0315374	0.0474003	0.00294037	0.847472	1.08651	1.079131	0.9208685	0.292247	0.548839	0.8293	1.20584	1.82203	3.42176	0.8894864	0.8533423	0.4423856	0.0397976	0.0151198	0.00189228	0.0175733	0.011904	0.000236028	0.000156576	0.00209369	0.00851925	0.011526	0.00773299	0.0292887	0.00570952	0.0204033	0.0206289	0.0268995	0.0222102	0.011828	0.0276968	0.0112748	0.0169761	0.0206915	0.0080155	0.00496748	0.00100408	0.00786766	0.0135804	0.00313513	0.00947801	0.00440869	0.0107224	0.00901822	0.0177908	0.0131593	0.0126903	0.00805047	0.0167325	0.0415755	0.0103794	0.00171642	0.000421623	0.00408146	0.00420434	0.00101125	0.00383949	0.00488367	0.00939482	0.0123858	0.000568387	0.00377927	0.040233	0.00554609	0.0130322	0.0281356	0.00205492	0.00543155	0.036485	0.014795	0.00321872	0.0170805	0.0284807	0.00481791	0.000881748	0.00650854	0.0114718	0.000806767	0.010507	0.00599819	0.00491372	0.019373	0.00661447	0.00624829	0.0115087	0.0107768	0.00463559	0.00585279	0.00856184	0.00804398	0.00162864	0.00955108	0.00862653	0.00161243	0.0467391	0.0187183	0.00409938	0.00372052	0.00549579	0.0082601	0.000512396	0.460434	0.539566	5.738472
324	-3791.137	-3935.737	144.5997	0.318317	0.118612	0.0589251	0.0163154	0.063617	0.00549112	0.00524071	0.0332833	0.0564705	0.0322527	0.0235973	0.10428	0.0377578	0.0184735	0.113534	0.0984118	0.118235	0.0725071	0.149903	0.0320063	0.0630935	0.179261	0.0698012	0.00717215	0.00677802	0.074205	0.0955	0.0506039	0.052194	0.0483965	0.0490358	0.0445096	0.0684115	0.0359843	0.0673744	0.0434241	0.104789	0.232614	0.027486	0.0220413	0.0111914	0.0032929	0.021355	0.0061726	0.02221	0.0336254	0.0670382	0.0724871	0.00843711	0.0647546	0.282627	0.0459474	0.0213414	0.139277	0.0165951	0.00956837	0.194939	0.0414934	0.024012	0.138	0.159803	0.0469653	0.00976266	0.0522105	0.0594321	0.0442185	0.119919	0.0551912	0.0201926	0.0819185	0.0686288	0.0396668	0.0420594	0.0645144	0.0169573	0.0485185	0.100367	0.0734983	0.0154192	0.0387239	0.0649334	0.016694	0.234804	0.0338413	0.000544854	0.0390633	0.0313376	0.0357871	0.012788	0.853684	1.08299	1.156701	0.8432991	0.332026	0.584083	0.84556	1.18265	1.71208	3.01181	0.7972129	0.7290554	0.4470783	0.0561205	0.0209117	0.0103887	0.00287646	0.0112159	0.000968105	0.000923956	0.00586796	0.00995596	0.00568626	0.00416029	0.0183849	0.00665684	0.00325694	0.0200165	0.0173504	0.0208453	0.0127833	0.0264285	0.00564283	0.0111236	0.0316044	0.0123062	0.00126448	0.00119499	0.0130826	0.016837	0.00892166	0.00920199	0.00853248	0.00864518	0.0078472	0.0120612	0.00634417	0.0118784	0.00765583	0.0184748	0.0410107	0.00484588	0.00388596	0.00197309	0.000580551	0.00376497	0.00108825	0.00391571	0.00592828	0.0118191	0.0127797	0.00148749	0.0114165	0.0498281	0.00810069	0.00376256	0.024555	0.00292578	0.00168694	0.0343685	0.00731545	0.00423341	0.0243299	0.0281739	0.00828015	0.00172119	0.0092049	0.0104781	0.00779588	0.0211422	0.00973041	0.00356002	0.0144425	0.0120995	0.00699341	0.00741523	0.0113741	0.00298963	0.00855399	0.017695	0.012958	0.00271846	0.00682717	0.011448	0.00294321	0.0413968	0.00596634	9.60598e-05	0.00688701	0.00552493	0.0063094	0.00225456	0.42165	0.57835	5.672032
